user_id,signup_date,plan_type,country,industry,acquisition_channel,signup_date_clean
81,2024-12-22,free,DE,Healthcare,unknown,2024-12-22
82,2024-02-24,paid,AU,Manufacturing,google,2024-02-24
83,2024-03-03,paid,DE,Tech,linkedin,2024-03-03
84,2024-09-15,paid,US,Finance,linkedin,2024-09-15
85,2024-08-31,paid,US,Healthcare,organic,2024-08-31
86,2024-05-02,paid,CA,Finance,linkedin,2024-05-02
87,06/12/2024,free,JP,Education,google,2024-06-12
88,2024-03-19,paid,JP,Education,referral,2024-03-19
89,2024-07-31,paid,JP,Retail,referral,2024-07-31
90,01/11/2024,paid,GB,Manufacturing,facebook,2024-01-11
91,,paid,GB,Finance,facebook,
92,2024-10-06,paid,IN,Manufacturing,linkedin,2024-10-06
93,2024-09-05,paid,AU,Retail,referral,2024-09-05
94,27-08-2024,free,CA,Tech,google,2024-08-27
95,2024-12-05,free,US,Manufacturing,google,2024-12-05
96,2024-05-13,paid,CA,Education,google,2024-05-13
97,2024-07-13,paid,US,Healthcare,linkedin,2024-07-13
98,2024-08-28,paid,AU,Finance,linkedin,2024-08-28
99,2024-11-29,free,AU,Retail,organic,2024-11-29
100,2024-11-14,free,FR,Healthcare,google,2024-11-14
101,2024-08-26,free,DE,Healthcare,google,2024-08-26
102,2024-02-28,paid,CA,Manufacturing,linkedin,2024-02-28
103,2024-06-08,paid,FR,Retail,linkedin,2024-06-08
104,2024-04-11,free,GB,Retail,organic,2024-04-11
105,06/03/2024,free,GB,Education,organic,2024-06-03
106,2024-06-26,free,US,Education,facebook,2024-06-26
107,01/07/2024,free,DE,Tech,referral,2024-01-07
108,11/21/2024,free,AU,Healthcare,google,2024-11-21
109,24-09-2024,paid,FR,Education,google,2024-09-24
110,2024-10-30,free,AU,Manufacturing,organic,2024-10-30
111,2024-05-04,paid,US,Healthcare,organic,2024-05-04
112,,free,AU,Manufacturing,facebook,
113,2024-05-12,paid,DE,Education,referral,2024-05-12
114,,free,JP,Manufacturing,facebook,
115,2024-09-07,paid,AU,Manufacturing,referral,2024-09-07
116,2024-08-17,free,CA,Healthcare,google,2024-08-17
117,2024-06-05,paid,JP,Education,facebook,2024-06-05
118,2024-10-08,paid,FR,Finance,organic,2024-10-08
119,2024-03-02,free,AU,Education,facebook,2024-03-02
120,2024-09-04,paid,GB,Tech,facebook,2024-09-04
121,2024-05-31,free,DE,Retail,google,2024-05-31
122,2024-05-20,paid,CA,Manufacturing,organic,2024-05-20
123,11/22/2024,free,GB,Tech,organic,2024-11-22
124,2024-09-02,free,GB,Finance,linkedin,2024-09-02
125,2024-09-01,paid,FR,Tech,linkedin,2024-09-01
126,2024-12-17,paid,IN,Education,linkedin,2024-12-17
127,2024-03-01,free,IN,Education,google,2024-03-01
128,2024-08-14,paid,FR,Manufacturing,facebook,2024-08-14
129,2024-01-31,free,DE,Education,organic,2024-01-31
130,2024-12-04,free,FR,Manufacturing,organic,2024-12-04
131,,paid,CA,Manufacturing,facebook,
132,,paid,CA,Education,organic,
133,2024-02-06,free,CA,Finance,facebook,2024-02-06
134,2024-04-25,free,FR,Retail,google,2024-04-25
135,,paid,JP,Retail,google,
136,2024-12-18,paid,IN,Tech,google,2024-12-18
137,2024-08-12,paid,AU,Healthcare,facebook,2024-08-12
138,2024-05-08,free,AU,Tech,facebook,2024-05-08
139,2024-10-22,paid,FR,Manufacturing,referral,2024-10-22
140,2024-05-22,paid,GB,Healthcare,organic,2024-05-22
141,2024-07-28,free,FR,Finance,organic,2024-07-28
142,2024-09-10,free,CA,Tech,unknown,2024-09-10
143,2024-05-09,paid,GB,Manufacturing,referral,2024-05-09
144,2024-01-01,paid,FR,Manufacturing,referral,2024-01-01
145,2024-07-04,paid,US,Tech,google,2024-07-04
146,2024-10-08,paid,FR,Tech,referral,2024-10-08
147,,free,DE,Tech,facebook,
148,2024-10-09,free,CA,Healthcare,linkedin,2024-10-09
149,2024-03-01,paid,JP,Tech,facebook,2024-03-01
150,07/31/2024,free,AU,Retail,referral,2024-07-31
151,2024-07-15,free,FR,Tech,organic,2024-07-15
152,2024-07-31,paid,JP,Healthcare,facebook,2024-07-31
153,06/01/2024,paid,JP,Manufacturing,organic,2024-06-01
154,2024-09-04,paid,US,Healthcare,facebook,2024-09-04
155,06-04-2024,paid,CA,Education,organic,2024-04-06
156,2024-07-29,paid,FR,Healthcare,facebook,2024-07-29
157,29-11-2024,free,CA,Manufacturing,organic,2024-11-29
158,2024-10-29,paid,CA,Manufacturing,linkedin,2024-10-29
159,2024-08-21,free,FR,Education,google,2024-08-21
160,2024-05-15,free,IN,Education,facebook,2024-05-15
161,2024-09-30,paid,DE,Finance,linkedin,2024-09-30
162,,paid,US,Healthcare,google,
163,10-08-2024,free,JP,Finance,facebook,2024-08-10
164,02-06-2024,free,US,Finance,linkedin,2024-06-02
165,2024-08-08,free,GB,Finance,linkedin,2024-08-08
166,11/08/2024,free,US,Manufacturing,linkedin,2024-11-08
167,2024-03-14,paid,IN,Finance,referral,2024-03-14
168,26-08-2024,free,IN,Manufacturing,organic,2024-08-26
169,25-06-2024,paid,AU,Tech,google,2024-06-25
170,2024-06-03,paid,GB,Education,organic,2024-06-03
171,2024-10-19,paid,CA,Manufacturing,organic,2024-10-19
172,2024-12-03,free,IN,Healthcare,organic,2024-12-03
173,26-01-2024,paid,FR,Education,linkedin,2024-01-26
174,2024-06-29,paid,CA,Retail,organic,2024-06-29
175,2024-12-03,free,AU,Retail,referral,2024-12-03
176,2024-06-07,paid,GB,Tech,facebook,2024-06-07
177,2024-05-31,free,JP,Finance,linkedin,2024-05-31
178,2024-07-06,free,GB,Healthcare,google,2024-07-06
179,03-09-2024,paid,US,Finance,facebook,2024-09-03
180,2024-02-08,paid,AU,Tech,facebook,2024-02-08
181,2024-07-21,paid,FR,Retail,facebook,2024-07-21
182,2024-12-10,paid,JP,Manufacturing,organic,2024-12-10
183,2024-08-29,paid,CA,Education,organic,2024-08-29
184,2024-02-02,paid,FR,Education,linkedin,2024-02-02
185,2024-03-12,paid,GB,Finance,organic,2024-03-12
186,2024-10-02,paid,AU,Retail,organic,2024-10-02
187,03/20/2024,paid,US,Manufacturing,organic,2024-03-20
188,2024-05-23,paid,US,Manufacturing,linkedin,2024-05-23
189,2024-07-04,paid,CA,Finance,linkedin,2024-07-04
190,07-04-2024,paid,GB,Finance,referral,2024-04-07
191,2024-11-24,free,FR,Finance,referral,2024-11-24
192,2024-03-05,free,JP,Healthcare,referral,2024-03-05
193,2024-04-29,free,GB,Retail,referral,2024-04-29
194,15-03-2024,free,CA,Education,facebook,2024-03-15
195,2024-01-14,free,CA,Retail,facebook,2024-01-14
196,2024-03-30,paid,IN,Education,referral,2024-03-30
197,2024-02-02,free,GB,Tech,referral,2024-02-02
198,2024-11-10,paid,GB,Education,google,2024-11-10
199,2024-01-16,paid,CA,Manufacturing,facebook,2024-01-16
200,2024-09-08,free,JP,Tech,google,2024-09-08
201,2024-02-03,paid,AU,Retail,google,2024-02-03
202,2024-09-28,paid,CA,Education,organic,2024-09-28
203,02/28/2024,free,US,Healthcare,linkedin,2024-02-28
204,2024-04-26,paid,US,Finance,facebook,2024-04-26
205,2024-06-09,paid,JP,Education,referral,2024-06-09
206,2024-08-30,free,IN,Manufacturing,unknown,2024-08-30
207,07/09/2024,paid,JP,Retail,referral,2024-07-09
208,06/30/2024,paid,US,Education,linkedin,2024-06-30
209,,paid,GB,Healthcare,facebook,
210,2024-09-16,free,FR,Tech,referral,2024-09-16
211,2024-10-11,free,IN,Healthcare,referral,2024-10-11
212,2024-11-14,free,AU,Finance,organic,2024-11-14
213,2024-12-21,paid,JP,Finance,google,2024-12-21
214,04/02/2024,paid,US,Retail,referral,2024-04-02
215,20-11-2024,free,CA,Manufacturing,facebook,2024-11-20
216,2024-06-23,paid,US,Tech,linkedin,2024-06-23
217,2024-01-27,free,IN,Manufacturing,organic,2024-01-27
218,2024-08-14,paid,CA,Healthcare,facebook,2024-08-14
219,2024-09-19,paid,DE,Manufacturing,organic,2024-09-19
220,2024-09-06,free,DE,Education,google,2024-09-06
221,2024-01-29,free,GB,Education,unknown,2024-01-29
222,2024-05-28,free,US,Manufacturing,referral,2024-05-28
223,2024-03-30,free,GB,Healthcare,facebook,2024-03-30
224,12/08/2024,free,GB,Tech,linkedin,2024-12-08
225,,paid,JP,Finance,google,
226,2024-07-26,free,GB,Healthcare,google,2024-07-26
227,,paid,CA,Retail,organic,
228,2024-02-15,paid,JP,Retail,google,2024-02-15
229,2024-02-10,paid,US,Manufacturing,facebook,2024-02-10
230,2024-03-27,free,JP,Tech,organic,2024-03-27
231,11/26/2024,free,CA,Manufacturing,google,2024-11-26
232,2024-11-04,free,GB,Retail,linkedin,2024-11-04
233,2024-11-17,paid,US,Healthcare,facebook,2024-11-17
234,2024-10-16,paid,FR,Education,linkedin,2024-10-16
235,2024-08-13,paid,JP,Retail,linkedin,2024-08-13
236,2024-06-29,paid,CA,Retail,organic,2024-06-29
237,,free,FR,Retail,referral,
238,2024-02-16,paid,JP,Healthcare,organic,2024-02-16
239,2024-01-22,free,FR,Education,facebook,2024-01-22
240,2024-09-13,free,GB,Finance,facebook,2024-09-13
241,2024-02-13,free,US,Education,organic,2024-02-13
242,2024-08-12,paid,IN,Finance,unknown,2024-08-12
243,2024-07-17,free,FR,Healthcare,referral,2024-07-17
244,2024-02-03,paid,IN,Retail,organic,2024-02-03
245,02-12-2024,free,IN,Finance,facebook,2024-12-02
246,2024-12-05,paid,FR,Manufacturing,referral,2024-12-05
247,2024-02-13,paid,GB,Healthcare,facebook,2024-02-13
248,16-12-2024,paid,JP,Healthcare,referral,2024-12-16
249,2024-07-04,paid,DE,Tech,referral,2024-07-04
250,2024-03-11,free,CA,Finance,organic,2024-03-11
251,2024-09-26,free,US,Education,organic,2024-09-26
252,2024-03-24,free,FR,Retail,organic,2024-03-24
253,2024-07-29,paid,DE,Manufacturing,referral,2024-07-29
254,2024-08-17,paid,JP,Tech,referral,2024-08-17
255,19-10-2024,paid,CA,Tech,facebook,2024-10-19
256,02-08-2024,free,JP,Tech,linkedin,2024-08-02
257,,paid,GB,Manufacturing,organic,
258,12/30/2024,paid,US,Finance,facebook,2024-12-30
259,2024-05-19,paid,JP,Finance,facebook,2024-05-19
260,04/23/2024,free,US,Tech,google,2024-04-23
261,,free,JP,Education,organic,
262,2024-07-10,free,CA,Manufacturing,facebook,2024-07-10
263,2024-03-15,paid,GB,Manufacturing,google,2024-03-15
264,2024-12-27,free,FR,Retail,organic,2024-12-27
265,2024-03-17,paid,AU,Tech,referral,2024-03-17
266,2024-05-01,paid,FR,Finance,google,2024-05-01
267,2024-08-22,paid,FR,Education,referral,2024-08-22
268,2024-11-19,free,DE,Retail,linkedin,2024-11-19
269,2024-11-10,free,GB,Retail,linkedin,2024-11-10
270,25-09-2024,free,FR,Manufacturing,linkedin,2024-09-25
271,2024-01-23,paid,GB,Tech,linkedin,2024-01-23
272,,paid,IN,Education,facebook,
273,2024-11-17,paid,FR,Tech,linkedin,2024-11-17
274,,free,JP,Healthcare,facebook,
275,2024-12-22,free,DE,Finance,facebook,2024-12-22
276,2024-08-22,free,CA,Tech,organic,2024-08-22
277,2024-06-07,paid,JP,Manufacturing,facebook,2024-06-07
278,,paid,GB,Manufacturing,facebook,
279,01/25/2024,free,GB,Retail,linkedin,2024-01-25
280,2024-07-23,paid,US,Healthcare,facebook,2024-07-23
281,2024-09-11,paid,US,Retail,referral,2024-09-11
282,2024-02-10,free,CA,Healthcare,linkedin,2024-02-10
283,2024-02-22,paid,FR,Finance,google,2024-02-22
284,2024-08-06,paid,DE,Tech,unknown,2024-08-06
285,2024-06-29,free,FR,Tech,linkedin,2024-06-29
286,2024-07-26,free,DE,Tech,unknown,2024-07-26
287,2024-11-07,free,FR,Education,facebook,2024-11-07
288,2024-11-26,free,DE,Education,referral,2024-11-26
289,18-08-2024,free,JP,Finance,linkedin,2024-08-18
290,2024-07-06,free,DE,Finance,referral,2024-07-06
291,,paid,FR,Finance,unknown,
292,2024-05-13,paid,DE,Manufacturing,google,2024-05-13
293,2024-09-08,free,AU,Finance,google,2024-09-08
294,2024-12-31,paid,GB,Healthcare,organic,2024-12-31
295,2024-02-03,paid,CA,Tech,unknown,2024-02-03
296,2024-12-24,free,CA,Healthcare,organic,2024-12-24
297,2024-03-12,paid,AU,Education,linkedin,2024-03-12
298,08/27/2024,free,DE,Tech,organic,2024-08-27
299,2024-09-02,free,DE,Retail,referral,2024-09-02
300,2024-11-24,paid,JP,Retail,organic,2024-11-24
301,2024-10-09,free,US,Tech,referral,2024-10-09
302,01/29/2024,paid,JP,Education,organic,2024-01-29
303,2024-12-29,paid,GB,Retail,organic,2024-12-29
304,21-11-2024,paid,JP,Finance,organic,2024-11-21
305,2024-09-14,free,IN,Retail,facebook,2024-09-14
306,2024-11-05,free,US,Manufacturing,facebook,2024-11-05
307,2024-11-24,free,IN,Tech,organic,2024-11-24
308,2024-11-23,paid,JP,Healthcare,referral,2024-11-23
309,2024-09-04,paid,FR,Finance,linkedin,2024-09-04
310,2024-12-18,paid,JP,Healthcare,google,2024-12-18
311,2024-11-06,paid,IN,Education,facebook,2024-11-06
312,25-06-2024,paid,AU,Manufacturing,organic,2024-06-25
313,2024-06-12,paid,FR,Retail,google,2024-06-12
314,2024-01-26,paid,AU,Education,facebook,2024-01-26
315,03/22/2024,paid,IN,Healthcare,linkedin,2024-03-22
316,12-09-2024,paid,GB,Education,referral,2024-09-12
318,2024-06-29,paid,IN,Healthcare,linkedin,2024-06-29
319,2024-02-25,paid,IN,Retail,facebook,2024-02-25
320,2024-07-24,paid,US,Tech,organic,2024-07-24
321,2024-07-16,paid,JP,Education,google,2024-07-16
322,2024-03-01,paid,FR,Healthcare,referral,2024-03-01
323,2024-07-06,paid,AU,Healthcare,facebook,2024-07-06
324,,paid,IN,Retail,referral,
325,2024-03-17,paid,IN,Healthcare,organic,2024-03-17
326,20-07-2024,paid,JP,Tech,linkedin,2024-07-20
327,2024-09-17,paid,DE,Manufacturing,referral,2024-09-17
328,2024-07-07,paid,AU,Healthcare,unknown,2024-07-07
329,2024-12-18,paid,CA,Retail,google,2024-12-18
330,2024-10-23,paid,DE,Retail,facebook,2024-10-23
331,2024-11-13,free,CA,Healthcare,google,2024-11-13
332,2024-12-24,free,US,Tech,referral,2024-12-24
333,2024-03-18,paid,JP,Healthcare,linkedin,2024-03-18
334,2024-12-27,paid,JP,Finance,linkedin,2024-12-27
335,2024-07-11,paid,FR,Finance,google,2024-07-11
336,2024-12-14,paid,CA,Retail,organic,2024-12-14
337,2024-05-22,paid,AU,Finance,organic,2024-05-22
338,2024-12-19,paid,IN,Healthcare,linkedin,2024-12-19
339,2024-05-20,paid,AU,Manufacturing,google,2024-05-20
340,2024-03-15,free,AU,Retail,google,2024-03-15
341,2024-12-01,free,FR,Healthcare,google,2024-12-01
342,2024-10-14,free,GB,Retail,referral,2024-10-14
343,,free,US,Retail,organic,
344,2024-02-21,free,IN,Healthcare,organic,2024-02-21
345,03-01-2024,free,AU,Retail,referral,2024-01-03
346,2024-08-31,paid,FR,Retail,facebook,2024-08-31
347,31-01-2024,free,DE,Tech,referral,2024-01-31
348,20-01-2024,free,CA,Education,google,2024-01-20
349,2024-07-22,paid,IN,Tech,referral,2024-07-22
350,,free,FR,Tech,google,
351,2024-11-24,free,AU,Retail,linkedin,2024-11-24
352,04/08/2024,paid,CA,Retail,unknown,2024-04-08
353,2024-04-05,paid,DE,Finance,google,2024-04-05
354,2024-04-08,paid,DE,Finance,organic,2024-04-08
355,2024-02-14,free,CA,Retail,referral,2024-02-14
356,2024-05-07,paid,DE,Healthcare,google,2024-05-07
357,2024-06-03,paid,FR,Education,facebook,2024-06-03
358,2024-04-30,paid,DE,Education,linkedin,2024-04-30
359,14-09-2024,paid,JP,Tech,facebook,2024-09-14
360,2024-05-31,free,AU,Manufacturing,facebook,2024-05-31
361,2024-11-06,paid,DE,Tech,facebook,2024-11-06
362,2024-04-21,free,IN,Finance,unknown,2024-04-21
363,2024-12-26,free,CA,Healthcare,linkedin,2024-12-26
364,2024-09-15,free,FR,Education,linkedin,2024-09-15
365,2024-08-14,paid,GB,Manufacturing,linkedin,2024-08-14
366,08/16/2024,paid,US,Education,linkedin,2024-08-16
367,2024-10-13,free,JP,Retail,facebook,2024-10-13
368,2024-01-02,free,AU,Education,organic,2024-01-02
369,2024-02-02,free,CA,Healthcare,organic,2024-02-02
370,,free,IN,Finance,linkedin,
371,26-11-2024,paid,DE,Healthcare,unknown,2024-11-26
372,2024-07-12,free,DE,Tech,referral,2024-07-12
373,2024-03-01,free,AU,Education,google,2024-03-01
374,2024-01-02,paid,AU,Tech,referral,2024-01-02
375,2024-08-05,free,CA,Finance,referral,2024-08-05
376,2024-05-21,free,DE,Finance,referral,2024-05-21
377,2024-08-02,free,US,Education,organic,2024-08-02
378,2024-02-21,free,IN,Education,google,2024-02-21
379,2024-07-24,free,IN,Finance,referral,2024-07-24
380,2024-05-28,paid,US,Tech,linkedin,2024-05-28
381,12/10/2024,free,IN,Manufacturing,organic,2024-12-10
382,2024-07-30,free,JP,Tech,linkedin,2024-07-30
383,2024-10-11,paid,US,Healthcare,linkedin,2024-10-11
384,2024-08-01,free,JP,Tech,referral,2024-08-01
385,2024-04-25,paid,US,Retail,linkedin,2024-04-25
386,2024-08-01,free,JP,Tech,google,2024-08-01
387,2024-11-27,paid,AU,Retail,linkedin,2024-11-27
388,2024-04-07,free,JP,Retail,referral,2024-04-07
389,2024-10-27,paid,AU,Education,linkedin,2024-10-27
390,2024-06-19,free,DE,Education,organic,2024-06-19
392,2024-04-14,paid,CA,Education,organic,2024-04-14
393,2024-09-30,paid,IN,Education,organic,2024-09-30
394,2024-08-26,paid,JP,Retail,facebook,2024-08-26
395,2024-07-08,free,GB,Healthcare,organic,2024-07-08
396,2024-05-13,paid,US,Retail,organic,2024-05-13
397,2024-06-17,free,DE,Education,facebook,2024-06-17
398,2024-12-16,paid,FR,Manufacturing,organic,2024-12-16
399,2024-09-08,paid,CA,Healthcare,referral,2024-09-08
400,2024-10-06,free,AU,Education,organic,2024-10-06
401,,free,FR,Education,organic,
402,2024-11-18,free,CA,Manufacturing,facebook,2024-11-18
403,2024-07-10,paid,DE,Finance,referral,2024-07-10
404,2024-01-04,free,JP,Education,linkedin,2024-01-04
405,01-10-2024,free,IN,Finance,google,2024-10-01
406,2024-12-11,free,JP,Manufacturing,referral,2024-12-11
407,2024-09-25,paid,AU,Manufacturing,linkedin,2024-09-25
408,2024-07-22,paid,CA,Retail,referral,2024-07-22
409,2024-12-22,free,FR,Healthcare,linkedin,2024-12-22
410,2024-11-28,paid,DE,Finance,linkedin,2024-11-28
411,2024-01-29,free,AU,Finance,referral,2024-01-29
412,2024-11-26,free,IN,Manufacturing,facebook,2024-11-26
413,2024-04-27,paid,CA,Healthcare,referral,2024-04-27
414,,paid,GB,Tech,referral,
415,2024-01-17,free,IN,Manufacturing,linkedin,2024-01-17
416,12/30/2024,paid,JP,Healthcare,google,2024-12-30
417,10/17/2024,paid,US,Finance,linkedin,2024-10-17
418,2024-03-12,free,JP,Retail,organic,2024-03-12
419,2024-06-26,free,DE,Manufacturing,referral,2024-06-26
420,10-11-2024,paid,CA,Manufacturing,referral,2024-11-10
421,2024-08-18,paid,JP,Manufacturing,facebook,2024-08-18
422,2024-10-26,paid,JP,Healthcare,linkedin,2024-10-26
423,2024-02-12,free,JP,Education,facebook,2024-02-12
424,2024-07-03,free,US,Manufacturing,referral,2024-07-03
425,2024-07-03,free,JP,Education,linkedin,2024-07-03
426,2024-10-12,free,GB,Tech,linkedin,2024-10-12
427,2024-02-17,paid,CA,Retail,organic,2024-02-17
428,2024-07-17,free,JP,Tech,organic,2024-07-17
429,2024-12-16,paid,CA,Retail,google,2024-12-16
430,2024-02-02,paid,GB,Finance,organic,2024-02-02
431,2024-07-03,paid,CA,Manufacturing,linkedin,2024-07-03
432,2024-08-22,paid,US,Manufacturing,organic,2024-08-22
433,07/13/2024,paid,US,Education,google,2024-07-13
434,29-11-2024,paid,GB,Tech,referral,2024-11-29
435,2024-04-12,paid,GB,Manufacturing,organic,2024-04-12
436,2024-12-21,free,IN,Tech,linkedin,2024-12-21
437,2024-07-20,free,GB,Retail,referral,2024-07-20
438,2024-04-02,paid,DE,Finance,linkedin,2024-04-02
439,05/29/2024,paid,DE,Healthcare,referral,2024-05-29
440,2024-11-20,free,CA,Retail,linkedin,2024-11-20
441,2024-07-12,paid,FR,Retail,organic,2024-07-12
442,16-09-2024,paid,IN,Education,organic,2024-09-16
443,,free,GB,Manufacturing,google,
444,2024-12-02,free,IN,Retail,referral,2024-12-02
445,2024-12-12,paid,GB,Manufacturing,google,2024-12-12
446,2024-02-20,free,AU,Manufacturing,facebook,2024-02-20
447,2024-08-25,free,US,Finance,organic,2024-08-25
448,2024-09-04,free,IN,Education,referral,2024-09-04
449,2024-03-13,free,JP,Education,google,2024-03-13
450,2024-08-31,paid,IN,Finance,google,2024-08-31
451,01/23/2024,paid,FR,Finance,facebook,2024-01-23
452,25-03-2024,free,IN,Retail,google,2024-03-25
453,2024-10-13,paid,GB,Tech,linkedin,2024-10-13
454,2024-11-23,free,US,Manufacturing,organic,2024-11-23
455,2024-07-18,paid,AU,Retail,google,2024-07-18
456,2024-02-02,free,CA,Retail,unknown,2024-02-02
457,2024-08-22,paid,IN,Education,google,2024-08-22
458,2024-06-09,free,DE,Education,facebook,2024-06-09
459,2024-08-22,paid,GB,Education,linkedin,2024-08-22
460,2024-12-10,paid,DE,Tech,google,2024-12-10
461,2024-12-21,free,US,Retail,organic,2024-12-21
462,2024-04-05,free,DE,Healthcare,organic,2024-04-05
463,2024-05-27,paid,US,Healthcare,google,2024-05-27
464,,free,CA,Healthcare,linkedin,
465,15-07-2024,paid,IN,Tech,organic,2024-07-15
466,2024-07-31,free,US,Tech,organic,2024-07-31
467,2024-04-22,paid,JP,Healthcare,linkedin,2024-04-22
468,2024-10-16,free,GB,Healthcare,linkedin,2024-10-16
469,10/05/2024,free,GB,Manufacturing,google,2024-10-05
470,21-04-2024,free,JP,Manufacturing,unknown,2024-04-21
471,2024-01-17,free,CA,Manufacturing,referral,2024-01-17
472,2024-03-01,paid,JP,Tech,facebook,2024-03-01
473,2024-08-07,free,JP,Tech,referral,2024-08-07
