user_id,plan_start_date,plan_end_date,churned,mrr,plan_start_clean,plan_end_clean
46,2024-01-11,05/10/2024,N,0,2024-01-11,2024-05-10
47,2024-01-23,,Y,79,2024-01-23,
48,2024-01-27,11/22/2024,Y,39,2024-01-27,2024-11-22
49,2024-01-13,,Y,0,2024-01-13,
50,2024-01-18,10/09/2025,N,0,2024-01-18,2025-10-09
51,2024-01-19,,N,29,2024-01-19,
52,2024-01-14,05/13/2024,N,149,2024-01-14,2024-05-13
53,2024-01-21,06/14/2025,N,0,2024-01-21,2025-06-14
54,2024-01-29,05/28/2024,N,29,2024-01-29,2024-05-28
55,2024-01-01,06/24/2025,Y,79,2024-01-01,2025-06-24
56,2024-01-13,11/08/2024,Y,49,2024-01-13,2024-11-08
57,2024-01-25,,N,0,2024-01-25,
58,2024-01-05,08/02/2024,N,59,2024-01-05,2024-08-02
59,2024-01-30,04/24/2025,N,0,2024-01-30,2025-04-24
60,2024-01-31,08/28/2024,Y,59,2024-01-31,2024-08-28
61,2024-01-13,2025-05-07,Y,0,2024-01-13,2025-05-07
63,2024-01-29,04/23/2025,N,0,2024-01-29,2025-04-23
64,2024-01-25,,Y,99,2024-01-25,
65,2024-01-24,12/14/2025,Y,29,2024-01-24,2025-12-14
66,2024-01-14,,Y,29,2024-01-14,
67,,,Y,49,,
68,2024-01-12,2025-01-06,N,99,2024-01-12,2025-01-06
69,2024-01-13,04/12/2024,Y,59,2024-01-13,2024-04-12
70,2024-01-25,07/18/2025,N,39,2024-01-25,2025-07-18
71,2024-01-16,,N,0,2024-01-16,
72,2024-01-14,,N,0,2024-01-14,
73,2024-01-16,12/06/2025,Y,79,2024-01-16,2025-12-06
74,2024-01-29,2025-04-23,N,99,2024-01-29,2025-04-23
75,2024-01-01,,N,0,2024-01-01,
76,2024-01-10,10/01/2025,Y,29,2024-01-10,2025-10-01
77,2024-01-15,12/05/2025,N,0,2024-01-15,2025-12-05
78,2024-01-16,,N,0,2024-01-16,
79,,2024-05-30,N,0,,2024-05-30
80,2024-01-18,07/11/2025,Y,39,2024-01-18,2025-07-11
81,2024-01-15,,N,0,2024-01-15,
82,2024-01-25,10/21/2024,N,49,2024-01-25,2024-10-21
83,2024-01-03,,Y,49,2024-01-03,
84,2024-01-08,,N,79,2024-01-08,
85,,,N,59,,
86,2024-01-16,2025-11-06,Y,99,2024-01-16,2025-11-06
87,2024-01-21,03/16/2025,Y,0,2024-01-21,2025-03-16
88,2024-01-12,2025-06-05,Y,99,2024-01-12,2025-06-05
89,2024-01-10,,N,39,2024-01-10,
90,2024-01-05,07/03/2024,N,49,2024-01-05,2024-07-03
91,2024-01-29,,N,59,2024-01-29,
92,2024-01-24,,N,59,2024-01-24,
93,2024-01-16,,N,79,2024-01-16,
94,2024-01-24,03/19/2025,Y,0,2024-01-24,2025-03-19
95,2024-01-01,2024-12-26,N,0,2024-01-01,2024-12-26
96,2024-01-12,,Y,49,2024-01-12,
97,2024-01-03,,Y,49,2024-01-03,
98,,09/27/2024,Y,59,,2024-09-27
99,2024-01-28,2024-12-23,Y,0,2024-01-28,2024-12-23
100,2024-01-10,2025-03-05,N,0,2024-01-10,2025-03-05
101,2024-01-18,11/08/2025,Y,0,2024-01-18,2025-11-08
102,2024-01-05,07/03/2024,N,29,2024-01-05,2024-07-03
103,2024-01-29,,N,79,2024-01-29,
104,2024-01-06,,Y,0,2024-01-06,
105,2024-01-01,,N,0,2024-01-01,
106,2024-01-26,06/24/2024,Y,0,2024-01-26,2024-06-24
107,2024-01-21,,Y,0,2024-01-21,
108,2024-01-24,2024-08-21,N,0,2024-01-24,2024-08-21
109,2024-01-04,,Y,149,2024-01-04,
110,2024-01-09,,N,0,2024-01-09,
111,2024-01-11,,Y,49,2024-01-11,
112,2024-01-03,,N,0,2024-01-03,
113,2024-01-06,09/02/2024,Y,29,2024-01-06,2024-09-02
114,2024-01-31,,Y,0,2024-01-31,
115,2024-01-28,2025-10-19,N,149,2024-01-28,2025-10-19
116,2024-01-13,11/03/2025,Y,0,2024-01-13,2025-11-03
117,2024-01-13,,N,49,2024-01-13,
118,2024-01-06,,Y,99,2024-01-06,
119,2024-01-25,2024-05-24,Y,0,2024-01-25,2024-05-24
120,2024-01-27,2025-09-18,N,39,2024-01-27,2025-09-18
121,2024-01-27,2026-01-16,Y,0,2024-01-27,2026-01-16
122,2024-01-17,10/13/2024,N,59,2024-01-17,2024-10-13
123,2024-01-27,,Y,0,2024-01-27,
124,2024-01-13,08/05/2025,Y,0,2024-01-13,2025-08-05
125,2024-01-14,,Y,79,2024-01-14,
126,2024-01-11,,N,29,2024-01-11,
127,2024-01-07,08/29/2025,Y,0,2024-01-07,2025-08-29
128,2024-01-20,,N,149,2024-01-20,
129,2024-01-19,2024-08-16,N,0,2024-01-19,2024-08-16
130,,,Y,0,,
131,2024-01-19,,Y,79,2024-01-19,
132,2024-01-01,09/22/2025,N,99,2024-01-01,2025-09-22
133,2024-01-22,10/18/2024,N,0,2024-01-22,2024-10-18
134,2024-01-27,07/20/2025,Y,0,2024-01-27,2025-07-20
135,2024-01-27,07/25/2024,Y,49,2024-01-27,2024-07-25
136,2024-01-12,2025-02-05,N,39,2024-01-12,2025-02-05
137,2024-01-11,2024-10-07,Y,29,2024-01-11,2024-10-07
138,2024-01-11,2025-12-01,Y,0,2024-01-11,2025-12-01
139,2024-01-04,,Y,59,2024-01-04,
140,2024-01-04,12/29/2024,N,99,2024-01-04,2024-12-29
141,2024-01-26,2024-11-21,N,0,2024-01-26,2024-11-21
142,2024-01-14,,Y,0,2024-01-14,
143,2024-01-03,2024-09-29,Y,99,2024-01-03,2024-09-29
144,2024-01-25,2025-06-18,Y,59,2024-01-25,2025-06-18
145,2024-01-22,2025-11-12,Y,99,2024-01-22,2025-11-12
146,2024-01-31,08/23/2025,N,149,2024-01-31,2025-08-23
147,2024-01-07,01/01/2025,N,0,2024-01-07,2025-01-01
148,2024-01-28,,N,0,2024-01-28,
149,2024-01-22,2025-06-15,N,39,2024-01-22,2025-06-15
150,2024-01-25,,N,0,2024-01-25,
151,,2024-07-29,Y,0,,2024-07-29
152,2024-01-30,,N,49,2024-01-30,
153,2024-01-25,11/20/2024,N,59,2024-01-25,2024-11-20
154,2024-01-02,01/26/2025,N,59,2024-01-02,2025-01-26
155,2024-01-10,,N,79,2024-01-10,
156,2024-01-12,2024-11-07,N,59,2024-01-12,2024-11-07
157,2024-01-08,2025-06-01,Y,0,2024-01-08,2025-06-01
158,2024-01-09,,Y,79,2024-01-09,
159,2024-01-09,08/06/2024,Y,0,2024-01-09,2024-08-06
160,2024-01-27,06/20/2025,N,0,2024-01-27,2025-06-20
161,2024-01-31,,N,149,2024-01-31,
162,2024-01-21,,N,99,2024-01-21,
163,2024-01-13,05/07/2025,N,0,2024-01-13,2025-05-07
164,2024-01-31,,Y,0,2024-01-31,
165,2024-01-09,05/03/2025,Y,0,2024-01-09,2025-05-03
166,2024-01-11,,N,0,2024-01-11,
167,2024-01-02,,Y,59,2024-01-02,
168,2024-01-19,2025-02-12,Y,0,2024-01-19,2025-02-12
169,2024-01-19,11/09/2025,Y,49,2024-01-19,2025-11-09
170,,2025-05-25,Y,29,,2025-05-25
171,2024-01-31,,N,79,2024-01-31,
172,2024-01-31,,Y,99,2024-01-31,
173,2024-01-05,01/29/2025,N,99,2024-01-05,2025-01-29
174,2024-01-03,,N,49,2024-01-03,
175,2024-01-05,04/04/2024,N,0,2024-01-05,2024-04-04
176,2024-01-24,12/14/2025,N,49,2024-01-24,2025-12-14
177,2024-01-06,2024-09-02,N,0,2024-01-06,2024-09-02
178,2024-01-21,10/12/2025,Y,0,2024-01-21,2025-10-12
179,2024-01-15,07/13/2024,Y,29,2024-01-15,2024-07-13
180,2024-01-06,,N,29,2024-01-06,
181,2024-01-20,,N,59,2024-01-20,
182,2024-01-05,,N,79,2024-01-05,
183,2024-01-19,2024-11-14,N,59,2024-01-19,2024-11-14
184,2024-01-28,2024-08-25,N,59,2024-01-28,2024-08-25
185,2024-01-12,2025-03-07,Y,59,2024-01-12,2025-03-07
186,2024-01-22,2024-07-20,N,39,2024-01-22,2024-07-20
187,2024-01-29,07/27/2024,Y,39,2024-01-29,2024-07-27
188,2024-01-14,2025-11-04,Y,79,2024-01-14,2025-11-04
189,2024-01-12,09/08/2024,Y,39,2024-01-12,2024-09-08
190,2024-01-20,2024-04-19,Y,49,2024-01-20,2024-04-19
191,2024-01-23,,Y,0,2024-01-23,
192,2024-01-27,,Y,0,2024-01-27,
193,2024-01-28,05/22/2025,N,0,2024-01-28,2025-05-22
194,2024-01-24,2025-11-14,N,0,2024-01-24,2025-11-14
195,2024-01-05,,Y,0,2024-01-05,
196,2024-01-05,,Y,49,2024-01-05,
197,2024-01-25,2025-01-19,N,0,2024-01-25,2025-01-19
198,2024-01-24,,N,79,2024-01-24,
424,2024-01-21,,Y,49,2024-01-21,
199,2024-01-02,08/24/2025,Y,99,2024-01-02,2025-08-24
200,2024-01-09,01/03/2025,N,0,2024-01-09,2025-01-03
201,2024-01-29,,Y,29,2024-01-29,
202,2024-01-27,,N,39,2024-01-27,
203,2024-01-23,,N,0,2024-01-23,
204,2024-01-25,2025-06-18,N,59,2024-01-25,2025-06-18
205,2024-01-31,,Y,59,2024-01-31,
206,2024-01-03,10/24/2025,Y,0,2024-01-03,2025-10-24
207,2024-01-26,,Y,29,2024-01-26,
208,2024-01-03,06/26/2025,N,99,2024-01-03,2025-06-26
209,2024-01-31,06/24/2025,Y,39,2024-01-31,2025-06-24
210,2024-01-31,2025-11-21,Y,0,2024-01-31,2025-11-21
211,2024-01-03,07/31/2024,N,0,2024-01-03,2024-07-31
212,2024-01-15,,N,0,2024-01-15,
213,2024-01-02,,Y,29,2024-01-02,
214,2024-01-22,01/16/2025,N,49,2024-01-22,2025-01-16
215,2024-01-08,09/29/2025,N,0,2024-01-08,2025-09-29
216,2024-01-25,,Y,149,2024-01-25,
217,2024-01-04,10/25/2025,N,0,2024-01-04,2025-10-25
218,2024-01-31,,N,59,2024-01-31,
219,2024-01-18,05/17/2024,N,79,2024-01-18,2024-05-17
220,2024-01-31,2024-10-27,Y,0,2024-01-31,2024-10-27
221,2024-01-24,12/14/2025,N,0,2024-01-24,2025-12-14
222,2024-01-14,2025-08-06,Y,149,2024-01-14,2025-08-06
223,2024-01-07,2024-07-05,N,0,2024-01-07,2024-07-05
224,2024-01-04,02/27/2025,Y,0,2024-01-04,2025-02-27
225,2024-01-27,09/23/2024,N,29,2024-01-27,2024-09-23
226,2024-01-31,,Y,0,2024-01-31,
227,2024-01-12,,N,59,2024-01-12,
228,2024-01-14,2025-07-07,Y,59,2024-01-14,2025-07-07
229,2024-01-04,,N,29,2024-01-04,
230,2024-01-12,04/06/2025,Y,0,2024-01-12,2025-04-06
231,2024-01-02,2024-07-30,Y,0,2024-01-02,2024-07-30
232,2024-01-17,2025-12-07,Y,0,2024-01-17,2025-12-07
233,2024-01-04,2025-01-28,N,29,2024-01-04,2025-01-28
234,2024-01-03,12/28/2024,N,39,2024-01-03,2024-12-28
236,2024-01-28,,N,149,2024-01-28,
237,2024-01-11,01/05/2025,N,0,2024-01-11,2025-01-05
238,2024-01-08,,N,29,2024-01-08,
239,2024-01-02,,N,0,2024-01-02,
240,2024-01-02,2025-06-25,N,0,2024-01-02,2025-06-25
241,2024-01-17,2025-06-10,N,0,2024-01-17,2025-06-10
242,2024-01-20,2025-12-10,N,29,2024-01-20,2025-12-10
243,2024-01-20,2024-06-18,Y,0,2024-01-20,2024-06-18
244,2024-01-31,2025-08-23,N,149,2024-01-31,2025-08-23
245,2024-01-14,2026-01-03,N,0,2024-01-14,2026-01-03
246,2024-01-04,2024-12-29,Y,99,2024-01-04,2024-12-29
247,2024-01-15,,Y,149,2024-01-15,
248,2024-01-16,2024-12-11,Y,99,2024-01-16,2024-12-11
249,2024-01-12,11/07/2024,N,29,2024-01-12,2024-11-07
250,2024-01-04,,N,0,2024-01-04,
251,2024-01-23,2025-07-16,N,0,2024-01-23,2025-07-16
252,2024-01-03,2025-04-27,Y,0,2024-01-03,2025-04-27
253,2024-01-12,01/06/2025,Y,149,2024-01-12,2025-01-06
254,2024-01-25,10/16/2025,Y,29,2024-01-25,2025-10-16
255,2024-01-10,,N,79,2024-01-10,
256,2024-01-22,06/20/2024,N,0,2024-01-22,2024-06-20
257,,,N,29,,
258,2024-01-23,,N,59,2024-01-23,
259,2024-01-07,2024-12-02,N,49,2024-01-07,2024-12-02
260,2024-01-01,,N,0,2024-01-01,
261,2024-01-02,,Y,0,2024-01-02,
262,2024-01-15,11/10/2024,Y,0,2024-01-15,2024-11-10
263,2024-01-08,,Y,59,2024-01-08,
264,2024-01-23,2024-04-22,Y,0,2024-01-23,2024-04-22
265,2024-01-05,,Y,49,2024-01-05,
266,2024-01-02,12/22/2025,Y,59,2024-01-02,2025-12-22
267,2024-01-05,08/02/2024,N,29,2024-01-05,2024-08-02
268,2024-01-09,02/02/2025,Y,0,2024-01-09,2025-02-02
269,2024-01-05,2024-07-03,N,0,2024-01-05,2024-07-03
270,2024-01-22,2024-06-20,Y,0,2024-01-22,2024-06-20
271,2024-01-01,,Y,29,2024-01-01,
272,2024-01-21,12/11/2025,Y,149,2024-01-21,2025-12-11
273,2024-01-20,07/13/2025,N,39,2024-01-20,2025-07-13
274,2024-01-02,,N,0,2024-01-02,
275,2024-01-23,12/18/2024,Y,0,2024-01-23,2024-12-18
276,2024-01-07,2025-06-30,N,0,2024-01-07,2025-06-30
277,2024-01-03,,Y,39,2024-01-03,
278,2024-01-16,2024-07-14,Y,29,2024-01-16,2024-07-14
279,2024-01-16,12/06/2025,N,0,2024-01-16,2025-12-06
280,2024-01-28,2024-05-27,N,59,2024-01-28,2024-05-27
281,2024-01-24,,N,49,2024-01-24,
282,2024-01-22,2025-02-15,N,0,2024-01-22,2025-02-15
283,2024-01-19,2025-12-09,N,29,2024-01-19,2025-12-09
284,2024-01-01,,N,39,2024-01-01,
285,2024-01-11,,N,0,2024-01-11,
286,2024-01-12,,N,0,2024-01-12,
287,2024-01-13,2026-01-02,N,0,2024-01-13,2026-01-02
288,2024-01-18,,Y,0,2024-01-18,
289,2024-01-03,2025-12-23,Y,0,2024-01-03,2025-12-23
290,2024-01-01,03/31/2024,N,0,2024-01-01,2024-03-31
291,2024-01-18,12/08/2025,N,59,2024-01-18,2025-12-08
292,2024-01-29,,Y,59,2024-01-29,
293,2024-01-17,2025-06-10,N,0,2024-01-17,2025-06-10
294,2024-01-02,03/27/2025,Y,49,2024-01-02,2025-03-27
295,2024-01-29,,N,49,2024-01-29,
296,2024-01-22,2025-12-12,N,0,2024-01-22,2025-12-12
297,2024-01-24,,Y,149,2024-01-24,
298,,2025-12-21,N,0,,2025-12-21
299,2024-01-31,2024-08-28,Y,0,2024-01-31,2024-08-28
300,2024-01-08,,N,39,2024-01-08,
301,2024-01-17,,Y,0,2024-01-17,
302,2024-01-23,2026-01-12,Y,149,2024-01-23,2026-01-12
303,2024-01-30,2025-03-25,Y,39,2024-01-30,2025-03-25
304,2024-01-28,2025-06-21,N,99,2024-01-28,2025-06-21
305,2024-01-05,,Y,0,2024-01-05,
306,2024-01-18,2025-07-11,Y,0,2024-01-18,2025-07-11
307,2024-01-11,,N,0,2024-01-11,
308,2024-01-16,01/05/2026,Y,149,2024-01-16,2026-01-05
309,2024-01-13,,N,49,2024-01-13,
310,2024-01-20,2025-04-14,N,59,2024-01-20,2025-04-14
311,2024-01-23,,Y,99,2024-01-23,
312,2024-01-23,10/14/2025,Y,99,2024-01-23,2025-10-14
313,2024-01-15,,N,59,2024-01-15,
314,2024-01-28,03/23/2025,N,59,2024-01-28,2025-03-23
315,2024-01-08,2025-12-28,N,99,2024-01-08,2025-12-28
316,2024-01-15,,Y,29,2024-01-15,
317,2024-01-31,2024-06-29,Y,99,2024-01-31,2024-06-29
318,,2024-12-26,Y,149,,2024-12-26
319,2024-01-23,01/12/2026,N,99,2024-01-23,2026-01-12
320,2024-01-17,2024-08-14,Y,99,2024-01-17,2024-08-14
321,2024-01-09,2025-06-02,Y,99,2024-01-09,2025-06-02
322,2024-01-03,12/23/2025,N,59,2024-01-03,2025-12-23
323,2024-01-29,2024-08-26,N,39,2024-01-29,2024-08-26
324,2024-01-08,11/28/2025,Y,59,2024-01-08,2025-11-28
325,2024-01-18,2024-09-14,Y,49,2024-01-18,2024-09-14
326,2024-01-17,06/15/2024,Y,39,2024-01-17,2024-06-15
327,2024-01-22,,N,29,2024-01-22,
328,2024-01-04,04/03/2024,N,99,2024-01-04,2024-04-03
329,2024-01-28,,N,49,2024-01-28,
330,,2025-10-22,N,59,,2025-10-22
331,2024-01-24,,N,0,2024-01-24,
332,2024-01-15,10/06/2025,N,49,2024-01-15,2025-10-06
333,2024-01-29,2024-07-27,N,29,2024-01-29,2024-07-27
334,2024-01-19,10/10/2025,N,79,2024-01-19,2025-10-10
335,2024-01-09,03/04/2025,N,79,2024-01-09,2025-03-04
336,2024-01-29,11/19/2025,Y,149,2024-01-29,2025-11-19
337,2024-01-09,,Y,149,2024-01-09,
338,2024-01-04,05/03/2024,Y,99,2024-01-04,2024-05-03
339,,,N,39,,
340,2024-01-30,2025-06-23,N,0,2024-01-30,2025-06-23
341,2024-01-27,2025-07-20,Y,0,2024-01-27,2025-07-20
342,2024-01-17,07/10/2025,N,0,2024-01-17,2025-07-10
343,2024-01-26,2024-06-24,Y,0,2024-01-26,2024-06-24
344,2024-01-29,05/28/2024,Y,0,2024-01-29,2024-05-28
345,2024-01-10,08/07/2024,N,0,2024-01-10,2024-08-07
346,2024-01-10,,Y,79,2024-01-10,
347,2024-01-17,10/08/2025,N,0,2024-01-17,2025-10-08
348,2024-01-28,,N,0,2024-01-28,
349,2024-01-18,2025-08-10,Y,39,2024-01-18,2025-08-10
350,2024-01-10,,Y,0,2024-01-10,
351,,04/30/2024,N,0,,2024-04-30
352,2024-01-16,,Y,39,2024-01-16,
353,2024-01-01,07/24/2025,Y,59,2024-01-01,2025-07-24
354,,,N,99,,
355,2024-01-17,,Y,0,2024-01-17,
356,2024-01-01,,N,79,2024-01-01,
357,2024-01-29,,Y,99,2024-01-29,
358,2024-01-03,2025-10-24,Y,59,2024-01-03,2025-10-24
359,2024-01-28,04/27/2024,N,79,2024-01-28,2024-04-27
360,2024-01-16,2024-05-15,N,0,2024-01-16,2024-05-15
361,2024-01-12,03/07/2025,N,29,2024-01-12,2025-03-07
362,2024-01-11,,N,0,2024-01-11,
363,2024-01-30,2024-11-25,N,0,2024-01-30,2024-11-25
364,2024-01-08,2025-01-02,Y,0,2024-01-08,2025-01-02
365,2024-01-31,01/20/2026,Y,39,2024-01-31,2026-01-20
366,2024-01-18,,N,99,2024-01-18,
367,2024-01-15,2025-11-05,N,0,2024-01-15,2025-11-05
368,2024-01-13,2024-12-08,Y,0,2024-01-13,2024-12-08
369,2024-01-05,,N,0,2024-01-05,
370,2024-01-17,2025-09-08,Y,0,2024-01-17,2025-09-08
371,2024-01-16,,N,39,2024-01-16,
372,2024-01-31,07/24/2025,N,0,2024-01-31,2025-07-24
373,2024-01-19,07/12/2025,N,0,2024-01-19,2025-07-12
374,2024-01-03,02/26/2025,N,79,2024-01-03,2025-02-26
375,2024-01-07,,N,0,2024-01-07,
376,2024-01-02,2024-08-29,Y,0,2024-01-02,2024-08-29
377,2024-01-18,,N,0,2024-01-18,
378,2024-01-21,04/15/2025,Y,0,2024-01-21,2025-04-15
379,2024-01-25,,Y,0,2024-01-25,
380,2024-01-30,08/22/2025,N,79,2024-01-30,2025-08-22
381,,2025-02-24,Y,0,,2025-02-24
382,2024-01-26,06/24/2024,N,0,2024-01-26,2024-06-24
383,2024-01-14,2024-10-10,N,49,2024-01-14,2024-10-10
384,2024-01-08,,N,0,2024-01-08,
385,2024-01-18,,N,49,2024-01-18,
386,2024-01-19,10/10/2025,Y,0,2024-01-19,2025-10-10
387,2024-01-15,,N,49,2024-01-15,
388,2024-01-09,,Y,0,2024-01-09,
389,2024-01-07,2024-09-03,N,59,2024-01-07,2024-09-03
390,2024-01-06,2024-12-31,Y,0,2024-01-06,2024-12-31
391,2024-01-08,,N,0,2024-01-08,
392,2024-01-06,,Y,39,2024-01-06,
393,2024-01-08,05/02/2025,Y,149,2024-01-08,2025-05-02
394,2024-01-26,,N,39,2024-01-26,
395,2024-01-07,2024-04-06,N,0,2024-01-07,2024-04-06
396,2024-01-14,06/07/2025,Y,59,2024-01-14,2025-06-07
397,2024-01-24,2024-10-20,N,0,2024-01-24,2024-10-20
398,2024-01-22,,Y,99,2024-01-22,
399,2024-01-08,,N,59,2024-01-08,
400,2024-01-26,,Y,0,2024-01-26,
401,2024-01-09,,Y,0,2024-01-09,
402,2024-01-24,2024-12-19,Y,0,2024-01-24,2024-12-19
403,2024-01-08,2024-09-04,N,59,2024-01-08,2024-09-04
404,2024-01-19,,Y,0,2024-01-19,
1195,,2025-10-22,N,0,,2025-10-22
405,2024-01-17,01/06/2026,Y,29,2024-01-17,2026-01-06
406,2024-01-26,,N,0,2024-01-26,
407,2024-01-07,2025-06-30,N,99,2024-01-07,2025-06-30
408,,11/21/2025,N,59,,2025-11-21
409,2024-01-11,,N,0,2024-01-11,
410,2024-01-07,11/27/2025,Y,29,2024-01-07,2025-11-27
411,2024-01-28,2025-07-21,N,0,2024-01-28,2025-07-21
412,2024-01-04,,N,0,2024-01-04,
413,2024-01-13,2024-07-11,N,39,2024-01-13,2024-07-11
414,2024-01-04,2024-12-29,Y,49,2024-01-04,2024-12-29
415,2024-01-12,,Y,0,2024-01-12,
416,2024-01-16,,Y,29,2024-01-16,
417,2024-01-23,,Y,49,2024-01-23,
418,2024-01-01,06/24/2025,Y,0,2024-01-01,2025-06-24
419,2024-01-02,,N,0,2024-01-02,
420,2024-01-10,2024-09-06,Y,79,2024-01-10,2024-09-06
421,2024-01-15,2024-11-10,N,79,2024-01-15,2024-11-10
422,2024-01-12,,Y,99,2024-01-12,
423,2024-01-30,,N,0,2024-01-30,
425,2024-01-10,,Y,0,2024-01-10,
426,2024-01-28,2024-04-27,N,0,2024-01-28,2024-04-27
427,2024-01-14,,N,39,2024-01-14,
428,2024-01-22,,N,0,2024-01-22,
429,2024-01-13,,N,29,2024-01-13,
430,2024-01-28,11/23/2024,N,149,2024-01-28,2024-11-23
431,2024-01-21,,Y,79,2024-01-21,
432,2024-01-05,10/31/2024,Y,99,2024-01-05,2024-10-31
433,2024-01-31,2024-07-29,N,99,2024-01-31,2024-07-29
434,2024-01-09,04/03/2025,N,149,2024-01-09,2025-04-03
435,2024-01-30,09/21/2025,N,149,2024-01-30,2025-09-21
436,2024-01-09,01/03/2025,N,0,2024-01-09,2025-01-03
437,2024-01-31,2025-11-21,N,0,2024-01-31,2025-11-21
438,2024-01-17,,N,29,2024-01-17,
439,2024-01-19,08/11/2025,N,149,2024-01-19,2025-08-11
440,2024-01-30,,N,0,2024-01-30,
441,2024-01-17,,N,99,2024-01-17,
442,2024-01-19,04/18/2024,N,49,2024-01-19,2024-04-18
443,2024-01-02,2024-07-30,Y,0,2024-01-02,2024-07-30
444,2024-01-15,07/13/2024,N,0,2024-01-15,2024-07-13
445,2024-01-12,,N,29,2024-01-12,
446,2024-01-10,,Y,0,2024-01-10,
447,,2024-03-31,N,0,,2024-03-31
448,2024-01-20,06/13/2025,Y,0,2024-01-20,2025-06-13
449,2024-01-08,2025-01-02,Y,0,2024-01-08,2025-01-02
450,2024-01-18,2024-07-16,Y,39,2024-01-18,2024-07-16
451,2024-01-30,,Y,29,2024-01-30,
452,2024-01-15,,N,0,2024-01-15,
453,2024-01-16,10/12/2024,N,39,2024-01-16,2024-10-12
454,2024-01-31,03/26/2025,Y,0,2024-01-31,2025-03-26
456,2024-01-22,2025-07-15,Y,0,2024-01-22,2025-07-15
457,2024-01-02,,N,49,2024-01-02,
458,2024-01-05,2024-08-02,N,0,2024-01-05,2024-08-02
459,2024-01-24,2025-07-17,N,59,2024-01-24,2025-07-17
460,2024-01-30,01/24/2025,N,29,2024-01-30,2025-01-24
461,2024-01-19,2024-08-16,Y,0,2024-01-19,2024-08-16
462,2024-01-29,01/23/2025,Y,0,2024-01-29,2025-01-23
463,2024-01-07,,Y,29,2024-01-07,
464,2024-01-04,,Y,0,2024-01-04,
